,id,name,county,state_code,state,zip_codes,population,median_income
29922,29923,The Bronx,Bronx County,NY,New York,10451 / 10452 / 10453 / 10454 / 10455 / 10456 / 10457 / 10458 / 10459 / 10460 / 10461 / 10462 / 10463 / 10464 / 10465 / 10466 / 10467 / 10468 / 10469 / 10470 / 10471 / 10472 / 10473 / 10474 / 10475 / 10499,1455444,34299
3120,3121,San Diego,San Diego County,CA,California,91911 / 91915 / 91942 / 92014 / 92025 / 92027 / 92029 / 92037 / 92038 / 92039 / 92064 / 92065 / 92067 / 92071 / 92092 / 92093 / 92101 / 92102 / 92103 / 92104 / 92105 / 92106 / 92107 / 92108 / 92109 / 92110 / 92111 / 92112 / 92113 / 92114 / 92115 / 92116 / 92117 / 92118 / 92119 / 92120 / 92121 / 92122 / 92123 / 92124 / 92126 / 92127 / 92128 / 92129 / 92130 / 92131 / 92132 / 92133 / 92134 / 92137 / 92138 / 92139 / 92140 / 92142 / 92143 / 92145 / 92147 / 92149 / 92150 / 92152 / 92153 / 92154 / 92158 / 92159 / 92160 / 92161 / 92162 / 92163 / 92164 / 92165 / 92166 / 92167 / 92168 / 92169 / 92170 / 92171 / 92172 / 92173 / 92174 / 92175 / 92176 / 92177 / 92179 / 92182 / 92184 / 92186 / 92187 / 92190 / 92191 / 92192 / 92193 / 92194 / 92196 / 92197 / 92198 / 92199,1406630,66116
39689,39690,Dallas,Collin County / Dallas County / Denton County / Kaufman County / Rockwall County,TX,Texas,75006 / 75007 / 75019 / 75032 / 75037 / 75041 / 75043 / 75051 / 75052 / 75062 / 75063 / 75080 / 75081 / 75087 / 75088 / 75089 / 75098 / 75104 / 75115 / 75126 / 75141 / 75149 / 75150 / 75159 / 75166 / 75182 / 75201 / 75202 / 75203 / 75204 / 75205 / 75206 / 75207 / 75208 / 75209 / 75210 / 75211 / 75212 / 75214 / 75215 / 75216 / 75217 / 75218 / 75219 / 75220 / 75221 / 75222 / 75223 / 75224 / 75225 / 75226 / 75227 / 75228 / 75229 / 75230 / 75231 / 75232 / 75233 / 75234 / 75235 / 75236 / 75237 / 75238 / 75240 / 75241 / 75242 / 75243 / 75244 / 75245 / 75246 / 75247 / 75248 / 75249 / 75250 / 75251 / 75252 / 75253 / 75254 / 75258 / 75260 / 75261 / 75262 / 75263 / 75264 / 75265 / 75266 / 75267 / 75270 / 75275 / 75277 / 75283 / 75284 / 75285 / 75286 / 75287 / 75301 / 75303 / 75310 / 75312 / 75313 / 75315 / 75320 / 75323 / 75326 / 75334 / 75336 / 75339 / 75340 / 75342 / 75343 / 75344 / 75353 / 75354 / 75355 / 75356 / 75357 / 75359 / 75360 / 75363 / 75364 / 75367 / 75368 / 75370 / 75371 / 75372 / 75373 / 75374 / 75376 / 75378 / 75379 / 75380 / 75381 / 75382 / 75386 / 75387 / 75388 / 75389 / 75390 / 75391 / 75392 / 75393 / 75394 / 75395 / 75396 / 75397 / 75398,1317929,43781
3130,3131,San Jose,Santa Clara County,CA,California,94089 / 95002 / 95008 / 95013 / 95014 / 95032 / 95037 / 95050 / 95053 / 95070 / 95101 / 95103 / 95106 / 95109 / 95110 / 95111 / 95112 / 95113 / 95115 / 95116 / 95117 / 95118 / 95119 / 95120 / 95121 / 95122 / 95123 / 95124 / 95125 / 95126 / 95127 / 95128 / 95129 / 95130 / 95131 / 95132 / 95133 / 95134 / 95135 / 95136 / 95138 / 95139 / 95140 / 95141 / 95148 / 95150 / 95151 / 95152 / 95153 / 95154 / 95155 / 95156 / 95157 / 95158 / 95159 / 95160 / 95161 / 95164 / 95170 / 95172 / 95173 / 95190 / 95191 / 95192 / 95193 / 95194 / 95196,1025350,84647
39397,39398,Austin,Hays County / Travis County / Williamson County,TX,Texas,73301 / 73344 / 78613 / 78617 / 78641 / 78651 / 78652 / 78653 / 78660 / 78701 / 78702 / 78703 / 78704 / 78705 / 78708 / 78709 / 78710 / 78711 / 78712 / 78713 / 78714 / 78715 / 78716 / 78717 / 78718 / 78719 / 78720 / 78721 / 78722 / 78723 / 78724 / 78725 / 78726 / 78727 / 78728 / 78729 / 78730 / 78731 / 78732 / 78733 / 78734 / 78735 / 78736 / 78737 / 78738 / 78739 / 78741 / 78742 / 78744 / 78745 / 78746 / 78747 / 78748 / 78749 / 78750 / 78751 / 78752 / 78753 / 78754 / 78755 / 78756 / 78757 / 78758 / 78759 / 78760 / 78761 / 78762 / 78763 / 78764 / 78765 / 78766 / 78767 / 78768 / 78769 / 78772 / 78773 / 78774 / 78778 / 78779 / 78780 / 78781 / 78783 / 78785 / 78786 / 78788 / 78789 / 78798 / 78799,947890,57689
4671,4672,Jacksonville,Duval County,FL,Florida,32073 / 32099 / 32201 / 32202 / 32203 / 32204 / 32205 / 32206 / 32207 / 32208 / 32209 / 32210 / 32211 / 32212 / 32214 / 32215 / 32216 / 32217 / 32218 / 32219 / 32220 / 32221 / 32222 / 32223 / 32224 / 32225 / 32226 / 32227 / 32228 / 32229 / 32230 / 32231 / 32232 / 32233 / 32234 / 32235 / 32236 / 32237 / 32238 / 32239 / 32241 / 32244 / 32245 / 32246 / 32247 / 32250 / 32254 / 32255 / 32256 / 32257 / 32258 / 32260 / 32267 / 32277 / 32290,880619,46764
3124,3125,San Francisco,San Francisco County,CA,California,94101 / 94102 / 94103 / 94104 / 94105 / 94106 / 94107 / 94108 / 94109 / 94110 / 94111 / 94112 / 94114 / 94115 / 94116 / 94117 / 94118 / 94119 / 94120 / 94121 / 94122 / 94123 / 94124 / 94125 / 94126 / 94127 / 94129 / 94130 / 94131 / 94132 / 94133 / 94134 / 94135 / 94136 / 94137 / 94138 / 94139 / 94140 / 94141 / 94142 / 94143 / 94144 / 94145 / 94146 / 94147 / 94150 / 94151 / 94152 / 94153 / 94154 / 94155 / 94156 / 94158 / 94159 / 94160 / 94161 / 94162 / 94163 / 94164 / 94171 / 94172 / 94175 / 94177 / 94188 / 94199,870887,81294
10663,10664,Indianapolis,Marion County.,IN,Indiana,46077 / 46107 / 46113 / 46183 / 46201 / 46202 / 46203 / 46204 / 46205 / 46206 / 46207 / 46208 / 46209 / 46211 / 46214 / 46216 / 46217 / 46218 / 46219 / 46220 / 46221 / 46222 / 46223 / 46224 / 46225 / 46226 / 46227 / 46228 / 46229 / 46230 / 46231 / 46234 / 46235 / 46236 / 46237 / 46239 / 46240 / 46241 / 46242 / 46244 / 46247 / 46249 / 46250 / 46251 / 46253 / 46254 / 46255 / 46256 / 46259 / 46260 / 46262 / 46266 / 46268 / 46274 / 46275 / 46277 / 46278 / 46280 / 46282 / 46283 / 46285 / 46290 / 46291 / 46295 / 46296 / 46298,864771,51682
30646,30647,Columbus,Delaware County / Fairfield County / Franklin County,OH,Ohio,43002 / 43004 / 43016 / 43017 / 43026 / 43035 / 43054 / 43065 / 43068 / 43081 / 43082 / 43085 / 43109 / 43110 / 43119 / 43123 / 43125 / 43137 / 43147 / 43201 / 43202 / 43203 / 43204 / 43205 / 43206 / 43207 / 43209 / 43210 / 43211 / 43212 / 43213 / 43214 / 43215 / 43216 / 43217 / 43218 / 43219 / 43220 / 43221 / 43222 / 43223 / 43224 / 43226 / 43227 / 43228 / 43229 / 43230 / 43231 / 43232 / 43234 / 43235 / 43236 / 43240 / 43251 / 43260 / 43265 / 43266 / 43268 / 43270 / 43271 / 43272 / 43279 / 43287 / 43291,860090,45659
39846,39847,Fort Worth,Denton County / Johnson County / Parker County / Tarrant County / Wise County,TX,Texas,76006 / 76008 / 76012 / 76013 / 76028 / 76036 / 76039 / 76040 / 76051 / 76052 / 76053 / 76060 / 76101 / 76102 / 76103 / 76104 / 76105 / 76106 / 76107 / 76108 / 76109 / 76110 / 76111 / 76112 / 76113 / 76114 / 76115 / 76116 / 76117 / 76118 / 76119 / 76120 / 76121 / 76122 / 76123 / 76124 / 76126 / 76127 / 76129 / 76130 / 76131 / 76132 / 76133 / 76134 / 76135 / 76136 / 76137 / 76140 / 76147 / 76148 / 76150 / 76155 / 76161 / 76162 / 76163 / 76164 / 76166 / 76177 / 76179 / 76181 / 76185 / 76191 / 76192 / 76193 / 76195 / 76196 / 76197 / 76198 / 76199 / 76244 / 76247 / 76262,854113,53214
23074,23075,Charlotte,Mecklenburg County,NC,North Carolina,28078 / 28105 / 28126 / 28130 / 28134 / 28201 / 28202 / 28203 / 28204 / 28205 / 28206 / 28207 / 28208 / 28209 / 28210 / 28211 / 28212 / 28213 / 28214 / 28215 / 28216 / 28217 / 28218 / 28219 / 28220 / 28221 / 28222 / 28223 / 28224 / 28226 / 28227 / 28228 / 28229 / 28230 / 28231 / 28232 / 28233 / 28234 / 28235 / 28236 / 28237 / 28241 / 28242 / 28243 / 28244 / 28246 / 28247 / 28250 / 28253 / 28254 / 28255 / 28256 / 28258 / 28260 / 28262 / 28263 / 28265 / 28266 / 28269 / 28270 / 28271 / 28272 / 28273 / 28274 / 28275 / 28277 / 28278 / 28280 / 28281 / 28282 / 28284 / 28285 / 28287 / 28288 / 28289 / 28290 / 28296 / 28297 / 28299,842051,53637
28892,28893,Hempstead ,Nassau County,NY,New York,11001 / 11002 / 11003 / 11005 / 11010 / 11040 / 11041 / 11042 / 11043 / 11044 / 11096 / 11099 / 11426 / 11501 / 11509 / 11510 / 11516 / 11518 / 11520 / 11530 / 11531 / 11535 / 11536 / 11549 / 11550 / 11551 / 11552 / 11553 / 11554 / 11555 / 11556 / 11557 / 11558 / 11559 / 11561 / 11563 / 11565 / 11566 / 11569 / 11570 / 11571 / 11572 / 11575 / 11580 / 11581 / 11582 / 11590 / 11592 / 11598 / 11599 / 11710 / 11714 / 11756 / 11783 / 11793,770367,94999
13925,13926,Louisville,Jefferson County,KY,Kentucky,40041 / 40201 / 40202 / 40203 / 40204 / 40205 / 40206 / 40207 / 40208 / 40209 / 40210 / 40211 / 40212 / 40213 / 40214 / 40215 / 40216 / 40217 / 40218 / 40219 / 40220 / 40221 / 40222 / 40223 / 40224 / 40225 / 40228 / 40229 / 40231 / 40232 / 40233 / 40241 / 40242 / 40243 / 40245 / 40250 / 40251 / 40252 / 40253 / 40255 / 40256 / 40257 / 40258 / 40259 / 40261 / 40266 / 40268 / 40269 / 40270 / 40272 / 40280 / 40281 / 40282 / 40283 / 40285 / 40287 / 40289 / 40290 / 40291 / 40292 / 40293 / 40294 / 40295 / 40296 / 40297 / 40298 / 40299,760026,0
42847,42848,Seattle,King County,WA,Washington,98101 / 98102 / 98103 / 98104 / 98105 / 98106 / 98107 / 98108 / 98109 / 98111 / 98112 / 98113 / 98114 / 98115 / 98116 / 98117 / 98118 / 98119 / 98121 / 98122 / 98124 / 98125 / 98126 / 98127 / 98129 / 98133 / 98134 / 98136 / 98139 / 98141 / 98144 / 98145 / 98146 / 98151 / 98154 / 98161 / 98164 / 98165 / 98170 / 98171 / 98174 / 98175 / 98177 / 98178 / 98181 / 98184 / 98185 / 98191 / 98194 / 98195 / 98199,704352,70594
3564,3565,Denver,Denver County,CO,Colorado,80014 / 80110 / 80123 / 80137 / 80201 / 80202 / 80203 / 80204 / 80205 / 80206 / 80207 / 80208 / 80209 / 80210 / 80211 / 80212 / 80214 / 80215 / 80216 / 80217 / 80218 / 80219 / 80220 / 80221 / 80222 / 80223 / 80224 / 80225 / 80226 / 80227 / 80228 / 80229 / 80230 / 80231 / 80232 / 80233 / 80234 / 80235 / 80236 / 80237 / 80238 / 80239 / 80241 / 80243 / 80244 / 80246 / 80247 / 80248 / 80249 / 80250 / 80251 / 80252 / 80256 / 80257 / 80259 / 80260 / 80261 / 80262 / 80263 / 80264 / 80265 / 80266 / 80271 / 80273 / 80274 / 80279 / 80280 / 80281 / 80290 / 80291 / 80293 / 80294 / 80295 / 80299,693060,53637
39172,39173,Nashville,Davidson County,TN,Tennessee,37011 / 37013 / 37015 / 37027 / 37064 / 37072 / 37076 / 37080 / 37086 / 37115 / 37116 / 37122 / 37135 / 37138 / 37143 / 37152 / 37189 / 37201 / 37202 / 37203 / 37204 / 37205 / 37206 / 37207 / 37208 / 37209 / 37210 / 37211 / 37212 / 37213 / 37214 / 37215 / 37216 / 37217 / 37218 / 37219 / 37220 / 37221 / 37222 / 37224 / 37227 / 37228 / 37229 / 37230 / 37232 / 37234 / 37235 / 37236 / 37237 / 37238 / 37240 / 37241 / 37242 / 37243 / 37244 / 37245 / 37246 / 37247 / 37248 / 37249 / 37250,684410,41759
